车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
奥迪A6L,绍兴,28,中大型车,42.79-65.68,燃油车,12
本田CR-V,绍兴,28,SUV,18.59-26.39,燃油车,2
宝马X5,汕头,28,SUV,61.50-83.00,燃油车,2
问界M8,丽水,18,SUV,35.98-44.98,新能源,9
极氪7X,丽水,18,SUV,22.99-26.99,新能源,9
零跑T03,丽水,18,微型车,4.99-6.99,新能源,9
宋Pro新能源,丽水,18,SUV,10.28-14.28,新能源,9
长安UNI-V,汕头,28,紧凑型车,10.89-13.99,燃油车,3
途岳,汕头,28,SUV,12.59-21.66,燃油车,2
银河E5,上饶,28,SUV,11.28-14.88,燃油车,2
阿维塔07,临沂,18,SUV,21.99-28.99,新能源,9
逸动,上饶,28,紧凑型车,7.29-9.69,燃油车,3
别克GL8,商丘,28,MPV,23.29-47.39,燃油车,1
探岳,衢州,28,SUV,19.89-25.99,燃油车,2
瑞虎8 PRO,曲靖,28,SUV,11.99-16.69,燃油车,2
荣威i5,曲靖,28,紧凑型车,6.89-9.09,燃油车,3
长安启源Q07,泉州,28,SUV,12.98-17.18,燃油车,2
奔腾小马,泉州,28,微型车,2.49-5.39,燃油车,3
北京BJ30,泉州,28,SUV,9.99-13.69,燃油车,2
昂科威Plus,泉州,28,SUV,22.99-25.99,燃油车,2
卡罗拉锐放,齐齐哈尔,28,SUV,12.98-18.48,燃油车,2
哈弗大狗,齐齐哈尔,28,SUV,11.99-16.79,燃油车,2
荣威i5,秦皇岛,28,紧凑型车,6.89-9.09,燃油车,3
昂科威Plus,秦皇岛,28,SUV,22.99-25.99,燃油车,2
深蓝S07,连云港,18,SUV,14.99-20.79,新能源,9
AION Y,连云港,18,SUV,9.98-14.58,新能源,9
长安UNI-Z新能源,凉山,18,SUV,11.79-13.39,新能源,9
海鸥,凉山,18,小型车,6.98-8.58,新能源,9
逍客,清远,28,SUV,12.59-17.49,燃油车,2
深蓝S05,乐山,18,SUV,11.99-14.99,新能源,9
零跑C11,乐山,18,SUV,14.88-20.98,新能源,9
豹5,青岛,28,SUV,23.98-32.98,燃油车,2
领克06,青岛,28,SUV,10.86-13.26,燃油车,2
T-ROC探歌,青岛,28,SUV,15.89-17.87,燃油车,2
汉L,廊坊,18,中大型车,20.98-27.98,新能源,11
五菱之光,青岛,28,MPV,3.51-3.79,燃油车,1
捷途X70,黔东南,28,SUV,10.69-14.99,燃油车,2
卡罗拉锐放,莆田,28,SUV,12.98-18.48,燃油车,2
汉兰达,廊坊,18,SUV,24.98-34.88,新能源,9
凯美瑞,莆田,28,中型车,17.18-25.98,燃油车,13
途观L,平凉,28,SUV,18.68-26.68,燃油车,2
唐L,喀什,18,SUV,22.98-28.98,新能源,9
五菱宏光新能源,喀什,18,MPV,6.88-7.38,新能源,1
速腾,平凉,28,紧凑型车,12.79-17.29,燃油车,3
星愿,攀枝花,28,小型车,6.88-9.78,燃油车,3
宋L DM-i,锦州,18,SUV,13.58-17.58,新能源,9
坦克400新能源,锦州,18,SUV,27.98-28.98,新能源,9
坦克500新能源,锦州,18,SUV,33.50-36.38,新能源,9
银河E8,宁波,28,中大型车,15.38-22.88,燃油车,12
星愿,内江,28,小型车,6.88-9.78,燃油车,3
轩逸,内江,28,紧凑型车,10.86-17.49,燃油车,10
博越,南阳,28,SUV,9.28-12.58,燃油车,2
乐道L60,南通,28,SUV,20.69-25.59,燃油车,2
途观L,牡丹江,28,SUV,18.68-26.68,燃油车,2
朗逸,牡丹江,28,紧凑型车,8.00-15.19,燃油车,3
艾瑞泽8,绵阳,28,紧凑型车,9.99-14.89,燃油车,3
锋兰达,绵阳,28,SUV,12.58-18.48,燃油车,2
零跑T03,晋中,18,微型车,4.99-6.99,新能源,9
宝马X1,绵阳,28,SUV,28.89-34.99,燃油车,2
汉L,济宁,18,中大型车,20.98-27.98,新能源,11
海狮05 DM-i,济宁,18,SUV,10.28-14.28,新能源,9
深蓝S07,济宁,18,SUV,14.99-20.79,新能源,9
星瑞,马鞍山,28,紧凑型车,9.97-14.57,燃油车,3
银河L7,洛阳,28,SUV,11.58-16.97,燃油车,2
MG5,洛阳,28,紧凑型车,6.79-9.99,燃油车,3
艾瑞泽8,六安,28,紧凑型车,9.99-14.89,燃油车,3
朗逸,六安,28,紧凑型车,8.00-15.19,燃油车,3
逸动,龙岩,28,紧凑型车,7.29-9.69,燃油车,3
长安启源Q07,柳州,28,SUV,12.98-17.18,燃油车,2
宝来,柳州,28,紧凑型车,11.29-14.39,燃油车,3
海狮05 EV,荆门,18,SUV,11.78-13.78,新能源,9
迈腾,六盘水,28,中型车,17.49-24.69,燃油车,6
本田CR-V,六盘水,28,SUV,18.59-26.39,燃油车,2
五菱宏光V,丽水,28,MPV,4.31-5.45,燃油车,1
问界M8,景德镇,18,SUV,35.98-44.98,新能源,9
轩逸,丽水,28,紧凑型车,10.86-17.49,燃油车,10
宋Pro新能源,景德镇,18,SUV,10.28-14.28,新能源,9
海狮05 EV,晋城,18,SUV,11.78-13.78,新能源,9
铂智3X,临沂,28,SUV,10.98-15.98,燃油车,2
极狐 阿尔法T5(ARCFOX αT5),临沂,28,SUV,11.98-19.98,燃油车,2
哈弗H6,临汾,28,SUV,9.89-14.69,燃油车,2
轩逸,辽阳,28,紧凑型车,10.86-17.49,燃油车,10
探岳,聊城,28,SUV,19.89-25.99,燃油车,2
银河E5,连云港,28,SUV,11.28-14.88,燃油车,2
零跑C10,揭阳,18,SUV,12.28-16.88,新能源,9
海豚,揭阳,18,小型车,9.98-12.98,新能源,9
极狐 阿尔法T5(ARCFOX αT5),连云港,28,SUV,11.98-19.98,燃油车,2
亚洲龙,连云港,28,中型车,17.88-27.98,燃油车,4
帝豪,连云港,28,紧凑型车,6.29-14.98,燃油车,3
五菱之光新能源,嘉兴,18,MPV,4.78-5.08,新能源,1
腾势N9,嘉兴,18,SUV,38.98-44.98,新能源,9
捷途自由者,廊坊,28,SUV,12.49-15.49,燃油车,2
问界M5,嘉兴,18,SUV,22.98-27.98,新能源,9
途昂,廊坊,28,SUV,24.90-38.90,燃油车,2
瑞虎3x,廊坊,28,SUV,4.99-8.49,燃油车,2
纳米01,开封,28,小型车,6.58-13.98,燃油车,3
奔腾小马,开封,28,微型车,2.49-5.39,燃油车,3
星越L,开封,28,SUV,13.72-17.97,燃油车,2
途观L,锦州,28,SUV,18.68-26.68,燃油车,2
伊兰特,九江,28,紧凑型车,9.98-14.98,燃油车,3
海狮05 DM-i,江门,18,SUV,10.28-14.28,新能源,9
博越L,晋中,28,SUV,9.99-14.97,燃油车,2
零跑C16,江门,18,SUV,15.18-18.98,新能源,9
零跑C10,江门,18,SUV,12.28-16.88,新能源,9
途观L,晋中,28,SUV,18.68-26.68,燃油车,2
银河星耀8,济宁,28,中大型车,12.58-16.58,燃油车,12
长安UNI-V,济宁,28,紧凑型车,10.89-13.99,燃油车,3
五菱宏光S,济宁,28,MPV,0.00-0.00,燃油车,1
捷途X90,金华,28,SUV,13.99-17.29,燃油车,2
哈弗H6,金华,28,SUV,9.89-14.69,燃油车,2
君越,金华,28,中型车,17.99-23.99,燃油车,4
别克GL8,金华,28,MPV,23.29-47.39,燃油车,1
朗逸,荆州,28,紧凑型车,8.00-15.19,燃油车,3
领克900,揭阳,28,SUV,30.99-41.69,燃油车,2
唐L,湖州,18,SUV,22.98-28.98,新能源,9
亚洲龙,揭阳,28,中型车,17.88-27.98,燃油车,4
宝马i3,嘉兴,28,中型车,35.39-41.39,燃油车,4
问界M5,湖州,18,SUV,22.98-27.98,新能源,9
沃尔沃XC60,嘉兴,28,SUV,39.69-47.49,燃油车,2
艾瑞泽8,江门,28,紧凑型车,9.99-14.89,燃油车,3
星瑞,吉安,28,紧凑型车,9.97-14.57,燃油车,3
探岳,吉安,28,SUV,19.89-25.99,燃油车,2
帝豪,吉安,28,紧凑型车,6.29-14.98,燃油车,3
揽巡,佳木斯,28,SUV,24.29-32.59,燃油车,2
红旗E-QM5,佳木斯,28,中型车,12.18-23.98,燃油车,4
帝豪,佳木斯,28,紧凑型车,6.29-14.98,燃油车,3
帝豪,湖州,28,紧凑型车,6.29-14.98,燃油车,3
五菱之光新能源,惠州,18,MPV,4.78-5.08,新能源,1
海狮05 DM-i,惠州,18,SUV,10.28-14.28,新能源,9
逸动,湖州,28,紧凑型车,7.29-9.69,燃油车,3
卡罗拉锐放,呼伦贝尔,28,SUV,12.98-18.48,燃油车,2
君威,惠州,28,中型车,15.98-17.58,燃油车,4
深蓝S05,黄石,18,SUV,11.99-14.99,新能源,9
迈腾,惠州,28,中型车,17.49-24.69,燃油车,6
缤越,黄石,28,SUV,6.68-10.38,燃油车,2
宝马3系,黄山,28,中型车,29.99-39.99,燃油车,4
AION RT,淮南,18,紧凑型车,11.98-16.58,新能源,0
深蓝S05,淮南,18,SUV,11.99-14.99,新能源,9
长安CS75 PLUS,黄冈,28,SUV,11.39-14.99,燃油车,2
银河星舰7 EM-i,菏泽,28,SUV,10.38-13.68,燃油车,2
深蓝S07,怀化,18,SUV,14.99-20.79,新能源,9
奥迪Q5L,菏泽,28,SUV,34.98-48.88,燃油车,2
长安启源Q05,和田,28,SUV,9.69-12.79,燃油车,2
星越L,衡阳,28,SUV,13.72-17.97,燃油车,2
长安CS55PLUS,衡阳,28,SUV,9.29-12.59,燃油车,2
智界R7,淮安,18,SUV,24.98-33.98,新能源,9
理想L7,淮安,18,SUV,30.18-35.98,新能源,9
沃尔沃XC60,衡阳,28,SUV,39.69-47.49,燃油车,2
宝马5系,衡阳,28,中大型车,43.99-52.59,燃油车,12
红旗H5,衡水,28,中型车,15.98-22.58,燃油车,3
海豚,红河,18,小型车,9.98-12.98,新能源,9
五菱缤果,汉中,28,小型车,5.68-8.88,燃油车,3
昂科威Plus,汉中,28,SUV,22.99-25.99,燃油车,2
熊猫,贵港,28,微型车,2.99-5.39,燃油车,1
元PLUS,贺州,18,SUV,11.58-14.78,新能源,9
秦PLUS,贺州,18,紧凑型车,7.98-17.98,新能源,0
逸动,广安,28,紧凑型车,7.29-9.69,燃油车,3
奥迪A3,赣州,28,紧凑型车,16.59-25.13,燃油车,3
奥迪A6L,赣州,28,中大型车,42.79-65.68,燃油车,12
五菱缤果,抚州,28,小型车,5.68-8.88,燃油车,3
宝马5系,抚州,28,中大型车,43.99-52.59,燃油车,12
小鹏MONA M03,河源,18,紧凑型车,11.98-15.58,新能源,0
RAV4荣放,阜阳,28,SUV,16.98-26.38,燃油车,2
捷达VS5,抚顺,28,SUV,8.79-12.19,燃油车,2
逍客,抚顺,28,SUV,12.59-17.49,燃油车,2
深蓝S05,衡水,18,SUV,11.99-14.99,新能源,9
小麒麟,东营,28,微型车,4.99-5.19,燃油车,3
领克Z20,东莞,28,SUV,13.89-15.39,燃油车,2
宝马4系,东莞,28,中型车,37.99-57.69,燃油车,4
瑞虎8 PRO,定西,28,SUV,11.99-16.69,燃油车,2
捷途X70,德阳,28,SUV,10.69-14.99,燃油车,2
海豹07 DM-i,邯郸,18,中型车,13.98-19.58,新能源,7
海豹06GT,邯郸,18,中型车,13.68-18.68,新能源,7
长安Lumin,德宏,28,微型车,3.79-6.59,燃油车,3
深蓝S07,邯郸,18,SUV,14.99-20.79,新能源,9
海狮07 EV,邯郸,18,SUV,18.98-23.98,新能源,9
星越L,达州,28,SUV,13.72-17.97,燃油车,2
长安CS75 PLUS,达州,28,SUV,11.39-14.99,燃油车,2
长安启源Q07,大同,28,SUV,12.98-17.18,燃油车,2
星愿,大同,28,小型车,6.88-9.78,燃油车,3
雅阁,大同,28,中型车,17.98-23.88,燃油车,4
迈腾,大同,28,中型车,17.49-24.69,燃油车,6
奥迪A6L,大庆,28,中大型车,42.79-65.68,燃油车,12
日产N7,大连,28,中大型车,11.99-14.99,燃油车,12
长安启源A05,大连,28,紧凑型车,7.89-13.69,燃油车,3
红旗H5,大连,28,中型车,15.98-22.58,燃油车,4
捷途旅行者,大连,28,SUV,13.99-23.99,燃油车,2
星瑞,大连,28,紧凑型车,9.97-14.57,燃油车,3
沃尔沃S60,大连,28,中型车,30.69-38.49,燃油车,4
QQ冰淇淋,大理,28,微型车,2.99-5.69,燃油车,3
秦PLUS,广元,18,紧凑型车,7.98-17.98,新能源,0
捷达VS5,大理,28,SUV,8.79-12.19,燃油车,2
海豹06新能源,广安,18,中型车,9.98-13.98,新能源,7
别克GL8新能源,赣州,18,MPV,24.99-41.99,新能源,1
五菱宏光S3,大理,28,SUV,5.98-8.28,燃油车,2
途观L,滁州,28,SUV,18.68-26.68,燃油车,2
捷达VS7,赤峰,28,SUV,10.79-14.39,燃油车,2
宋L DM-i,抚州,18,SUV,13.58-17.58,新能源,9
汉L,抚州,18,中大型车,20.98-27.98,新能源,11
传祺GS3,郴州,28,SUV,8.58-11.18,燃油车,2
AION UT,阜阳,18,小型车,6.98-10.18,新能源,9
博越L,承德,28,SUV,9.99-14.97,燃油车,2
RAV4荣放,承德,28,SUV,16.98-26.38,燃油车,2
朗逸,承德,28,紧凑型车,8.00-15.19,燃油车,3
唐新能源,阜阳,18,SUV,17.98-26.98,新能源,9
瑞虎8 PRO,常州,28,SUV,11.99-16.69,燃油车,2
领克06,常州,28,SUV,10.86-13.26,燃油车,2
奔驰GLE,常州,28,SUV,69.98-88.98,燃油车,2
沃尔沃S60,常州,28,中型车,30.69-38.49,燃油车,4
星纪元 ET,佛山,18,SUV,17.28-31.98,新能源,9
五菱宏光S,昌吉,28,MPV,0.00-0.00,燃油车,1
揽巡,沧州,28,SUV,24.29-32.59,燃油车,2
传祺GS3,沧州,28,SUV,8.58-11.18,燃油车,2
红旗H5,滨州,28,中型车,15.98-22.58,燃油车,4
宋Pro新能源,恩施,18,SUV,10.28-14.28,新能源,9
星瑞,滨州,28,紧凑型车,9.97-14.57,燃油车,3
速腾,蚌埠,28,紧凑型车,12.79-17.29,燃油车,3
唐L,东营,18,SUV,22.98-28.98,新能源,9
银河星舰7 EM-i,包头,28,SUV,10.38-13.68,燃油车,2
揽巡,包头,28,SUV,24.29-32.59,燃油车,2
途岳,包头,28,SUV,12.59-21.66,燃油车,2
昂科威Plus,包头,28,SUV,22.99-25.99,燃油车,2
雅阁,包头,28,中型车,17.98-23.88,燃油车,4
途岳,保山,28,SUV,12.59-21.66,燃油车,2
星愿,宝鸡,28,小型车,6.88-9.78,燃油车,3
格瑞维亚,保定,28,MPV,29.98-41.68,燃油车,1
红旗HS3 PHEV,德州,18,SUV,15.98-15.98,新能源,9
捷达VA3,保定,28,紧凑型车,6.58-9.48,燃油车,3
长安CS75,保定,28,SUV,10.29-11.99,燃油车,2
迈腾,白山,28,中型车,17.49-24.69,燃油车,6
轩逸,白城,28,紧凑型车,10.86-17.49,燃油车,10
银河星耀8,安阳,28,中大型车,12.58-16.58,燃油车,12
坦克300,阿克苏,28,SUV,19.98-33.00,燃油车,2
锐界,郑州,28,SUV,22.68-30.98,燃油车,2
奥迪Q7,郑州,28,SUV,60.98-80.48,燃油车,2
雅阁,银川,28,中型车,17.98-23.88,燃油车,4
瑞虎8L,乌鲁木齐,28,SUV,12.99-17.49,燃油车,2
海豹06新能源,德阳,18,中型车,9.98-13.98,新能源,7
探陆,乌鲁木齐,28,SUV,23.98-30.18,燃油车,2
魏牌 高山,乌鲁木齐,28,MPV,30.98-40.58,燃油车,1
蓝电E5,武汉,28,SUV,9.98-15.39,燃油车,2
瑞虎5x,武汉,28,SUV,5.99-9.99,燃油车,2
凯迪拉克CT5,天津,28,中型车,28.99-34.59,燃油车,4
埃尔法,天津,28,MPV,89.90-92.90,燃油车,1
极狐 阿尔法S5,太原,28,中型车,12.78-18.48,燃油车,4
海豹05 DM-i,丹东,18,紧凑型车,7.98-10.38,新能源,0
秦L,丹东,18,中型车,9.98-15.38,新能源,7
宝马X5,太原,28,SUV,61.50-83.00,燃油车,2
揽胜,太原,28,SUV,141.20-379.50,燃油车,2
firefly萤火虫,石家庄,28,小型车,11.98-12.58,燃油车,3
阿维塔07,大连,18,SUV,21.99-28.99,新能源,9
捷途自由者,石家庄,28,SUV,12.49-15.49,燃油车,2
坦克300,石家庄,28,SUV,19.98-33.00,燃油车,2
宝马2系,沈阳,28,紧凑型车,25.99-27.99,燃油车,3
零跑C11,滁州,18,SUV,14.88-20.98,新能源,9
昊铂HL,上海,28,SUV,26.98-31.98,燃油车,2
五菱宏光新能源,楚雄,18,MPV,6.88-7.38,新能源,1
捷途山海T2,上海,28,SUV,17.99-23.99,燃油车,2
元PLUS,楚雄,18,SUV,11.58-14.78,新能源,9
保时捷718,上海,28,跑车,54.50-157.80,燃油车,6
奔驰CLA,上海,28,紧凑型车,30.92-39.58,燃油车,3
海狮05 EV,赤峰,18,SUV,11.78-13.78,新能源,9
保时捷911,上海,28,跑车,129.80-301.00,燃油车,6
长安Lumin,南宁,28,微型车,3.79-6.59,燃油车,3
宝马X1,南宁,28,SUV,28.89-34.99,燃油车,2
荣威D6,南京,28,紧凑型车,9.98-13.98,燃油车,3
银河E8,南京,28,中大型车,15.38-22.88,燃油车,12
问界M9,郴州,18,SUV,46.98-56.98,新能源,9
熊猫,南京,28,微型车,2.99-5.39,燃油车,1
帝豪,南京,28,紧凑型车,6.29-14.98,燃油车,3
途胜,南京,28,SUV,15.98-22.58,燃油车,2
宋L DM-i,潮州,18,SUV,13.58-17.58,新能源,9
宋Pro新能源,潮州,18,SUV,10.28-14.28,新能源,9
长安启源A07,南昌,28,中大型车,11.99-17.69,燃油车,12
捷途X70,南昌,28,SUV,10.69-14.99,燃油车,2
宝马X3,南昌,28,SUV,34.99-48.69,燃油车,2
海豹07 DM-i,常州,18,中型车,13.98-19.58,新能源,9
阿维塔07,常州,18,SUV,21.99-28.99,新能源,9
瑞虎8,拉萨,28,SUV,9.78-16.19,燃油车,2
宝马X5,兰州,28,SUV,61.50-83.00,燃油车,2
马自达CX-5,兰州,28,SUV,12.58-19.78,燃油车,2
firefly萤火虫,昆明,28,小型车,11.98-12.58,燃油车,3
铂智3X,昆明,28,SUV,10.98-15.98,燃油车,2
领克06,昆明,28,SUV,10.86-13.26,燃油车,2
皓影,昆明,28,SUV,18.59-26.39,燃油车,2
新海狮X30L,昆明,28,MPV,4.79-5.99,燃油车,1
领克07 EM-P,济南,28,中型车,16.98-18.98,燃油车,4
驱逐舰05,济南,28,紧凑型车,7.98-13.68,燃油车,3
沃尔沃S60,济南,28,中型车,30.69-38.49,燃油车,4
奔腾B70,济南,28,中型车,9.88-14.49,燃油车,4
长安启源Q05,呼和浩特,28,SUV,9.69-12.79,燃油车,2
劲客,呼和浩特,28,SUV,8.98-13.78,燃油车,2
捷途大圣,合肥,28,SUV,9.39-13.68,燃油车,2
瑞虎8,合肥,28,SUV,9.78-16.19,燃油车,2
天籁,合肥,28,中型车,17.98-23.98,燃油车,4
风云T9,杭州,28,SUV,12.99-19.39,燃油车,2
极狐考拉,杭州,28,MPV,11.98-16.98,燃油车,1
沃尔沃S90,杭州,28,中大型车,40.69-50.59,燃油车,12
深蓝S05,毕节,18,SUV,11.99-14.99,新能源,9
长安启源A07,海口,28,中大型车,11.99-17.69,燃油车,12
元PLUS,毕节,18,SUV,11.58-14.78,新能源,9
宝马X5,哈尔滨,28,SUV,61.50-83.00,燃油车,2
宋L DM-i,蚌埠,18,SUV,13.58-17.58,新能源,9
长安欧尚X7,贵阳,28,SUV,7.77-12.99,燃油车,2
马自达EZ-6,广州,28,中型车,13.98-18.18,燃油车,4
长安启源A05,广州,28,紧凑型车,7.89-13.69,燃油车,10
海狮05 EV,北海,18,SUV,11.78-13.78,新能源,9
长安CS55PLUS,广州,28,SUV,9.29-12.59,燃油车,2
问界M8,包头,18,SUV,35.98-44.98,新能源,9
五菱宏光新能源,包头,18,MPV,6.88-7.38,新能源,1
腾势N9,包头,18,SUV,38.98-44.98,新能源,9
坦克300新能源,包头,18,SUV,24.98-26.98,新能源,9
长安睿行EM60,广州,28,MPV,7.09-17.29,燃油车,1
奥迪Q7,广州,28,SUV,60.98-80.48,燃油车,2
日产N7,福州,28,中大型车,11.99-14.99,燃油车,12
传祺M8,福州,28,MPV,17.98-34.28,燃油车,1
捷途山海L7,重庆,28,SUV,12.98-22.78,燃油车,2
eπ007,重庆,28,中大型车,11.59-19.96,燃油车,12
探险者,重庆,28,SUV,30.98-39.98,燃油车,2
蔚来ES6,保定,18,SUV,33.80-39.60,新能源,9
奥迪Q3,重庆,28,SUV,25.18-29.68,燃油车,2
奇瑞iCAR 03,成都,28,SUV,10.98-16.98,燃油车,13
AION UT,百色,18,小型车,6.98-10.18,新能源,9
奥迪Q4 e-tron,成都,28,SUV,28.99-36.71,燃油车,13
海狮05 EV,安阳,18,SUV,11.78-13.78,新能源,9
AION UT,安阳,18,小型车,6.98-10.18,新能源,9
海豹05 DM-i,安阳,18,紧凑型车,7.98-10.38,新能源,0
唐新能源,安阳,18,SUV,17.98-26.98,新能源,9
瑞虎5x,成都,28,SUV,5.99-9.99,燃油车,13
捷豹XEL,成都,28,中型车,32.98-34.18,燃油车,4
揽胜极光,成都,28,SUV,38.98-47.58,燃油车,13
小鹏MONA M03,安庆,18,紧凑型车,11.98-15.58,新能源,0
零跑T03,安庆,18,微型车,4.99-6.99,新能源,9
零跑C11,安庆,18,SUV,14.88-20.98,新能源,9
速派,成都,28,中型车,17.49-19.49,燃油车,4
唐L,阿克苏,18,SUV,22.98-28.98,新能源,9
小鹏MONA M03,阿克苏,18,紧凑型车,11.98-15.58,新能源,0
欧尚Z6新能源,阿克苏,18,SUV,15.58-17.58,新能源,9
欧诺S,成都,28,MPV,4.69-5.44,燃油车,1
菱智,成都,28,MPV,5.99-9.99,燃油车,1
eπ008,长沙,28,SUV,17.86-20.36,燃油车,2
智己L6,长沙,28,中大型车,21.99-34.59,燃油车,12
岚图FREE,郑州,18,SUV,22.89-26.69,新能源,9
长安Lumin,长沙,28,微型车,3.79-6.59,燃油车,3
领克08 EM-P,长春,28,SUV,18.58-24.88,燃油车,2
五菱缤果,长春,28,小型车,5.68-8.88,燃油车,3
零跑C16,银川,18,SUV,15.18-18.98,新能源,9
瑞虎8 PLUS,长春,28,SUV,10.99-16.29,燃油车,2
五菱宏光新能源,西宁,18,MPV,6.88-7.38,新能源,1
坦克400新能源,西宁,18,SUV,27.98-28.98,新能源,9
奥迪Q4 e-tron,长春,28,SUV,28.99-36.71,燃油车,2
途昂,长春,28,SUV,24.90-38.90,燃油车,2
深蓝G318,西安,18,SUV,17.59-31.80,新能源,9
菱智,长春,28,MPV,5.99-9.99,燃油车,1
零跑C01,西安,18,中大型车,13.68-20.88,新能源,11
银河E8,北京,27,中大型车,15.38-22.88,燃油车,12
宝马iX1,北京,27,SUV,29.99-33.99,燃油车,2
瑞虎9,北京,27,SUV,15.29-20.99,燃油车,2
红旗H6,北京,27,中型车,17.98-23.98,燃油车,4
瑞虎5x,北京,27,SUV,5.99-9.99,燃油车,2
传祺GS4,北京,27,SUV,11.58-12.68,燃油车,2
乐道L60,遵义,27,SUV,20.69-25.59,燃油车,2
岚图梦想家,乌鲁木齐,18,MPV,32.99-63.99,新能源,1
零跑T03,乌鲁木齐,18,微型车,4.99-6.99,新能源,9
豹5,遵义,27,SUV,23.98-32.98,燃油车,2
深蓝G318,武汉,18,SUV,17.59-31.80,新能源,9
凯翼昆仑新能源,武汉,18,SUV,10.99-21.98,新能源,9
瑞虎8 PRO,遵义,27,SUV,11.99-16.69,燃油车,2
探岳,自贡,27,SUV,19.89-25.99,燃油车,2
别克GL8,淄博,27,MPV,23.29-47.39,燃油车,1
缤越,株洲,27,SUV,6.68-10.38,燃油车,2
逍客,株洲,27,SUV,12.59-17.49,燃油车,2
长安CS75 PLUS,珠海,27,SUV,11.39-14.99,燃油车,2
奔驰E级,珠海,27,中大型车,44.72-59.98,燃油车,12
银河E5,周口,27,SUV,11.28-14.88,燃油车,2
格瑞维亚,周口,27,MPV,29.98-41.68,燃油车,1
捷途X70,周口,27,SUV,10.69-14.99,燃油车,2
小鹏X9,天津,18,MPV,35.98-41.98,新能源,1
柯珞克,周口,27,SUV,14.99-15.49,燃油车,2
五菱缤果,中山,27,小型车,5.68-8.88,燃油车,2
探岳,中山,27,SUV,19.89-25.99,燃油车,2
雷克萨斯NX,中山,27,SUV,31.88-54.88,燃油车,2
卡罗拉锐放,镇江,27,SUV,12.98-18.48,燃油车,2
沃尔沃XC60,镇江,27,SUV,39.69-47.49,燃油车,2
奥迪A4L,镇江,27,中型车,28.98-40.08,燃油车,4
博越L,湛江,27,SUV,9.99-14.97,燃油车,2
皓影,漳州,27,SUV,18.59-26.39,燃油车,2
探岳,张家口,27,SUV,19.89-25.99,燃油车,2
奥迪Q5L,张家口,27,SUV,34.98-48.88,燃油车,2
海豹07 DM-i,石家庄,18,中型车,13.98-19.58,新能源,7
传祺GS3,张家口,27,SUV,8.58-11.18,燃油车,2
荣威i6 MAX新能源,石家庄,18,紧凑型车,15.28-25.98,新能源,0
星瑞,岳阳,27,紧凑型车,9.97-14.57,燃油车,3
威兰达,岳阳,27,SUV,17.38-26.48,燃油车,2
亚洲龙,岳阳,27,中型车,17.88-27.98,燃油车,4
领克900,榆林,27,SUV,30.99-41.69,燃油车,2
银河星耀8,宜春,27,中大型车,12.58-16.58,燃油车,12
豹5,宜昌,27,SUV,23.98-32.98,燃油车,2
红旗H5 PHEV,沈阳,18,中型车,18.58-19.98,新能源,7
坦克700新能源,沈阳,18,SUV,42.80-70.00,新能源,9
红旗H5,宜宾,27,中型车,15.98-22.58,燃油车,4
瑞虎8 PRO,烟台,27,SUV,11.99-16.69,燃油车,2
smart精灵#1,扬州,27,SUV,15.49-28.49,燃油车,2
五菱宏光V,扬州,27,MPV,4.31-5.45,燃油车,1
坦克700新能源,上海,18,SUV,42.80-70.00,新能源,9
探岳,盐城,27,SUV,19.89-25.99,燃油车,2
宝马X1,盐城,27,SUV,28.89-34.99,燃油车,2
途岳,延安,27,SUV,12.59-21.66,燃油车,2
哈弗大狗,徐州,27,SUV,11.99-16.79,燃油车,2
MG5,徐州,27,紧凑型车,6.79-9.99,燃油车,3
奔腾B70,徐州,27,中型车,9.88-14.49,燃油车,4
极氪001,南宁,18,中大型车,25.90-32.90,新能源,11
五菱宏光V,许昌,27,MPV,4.31-5.45,燃油车,1
途岳,许昌,27,SUV,12.59-21.66,燃油车,2
蔚来ET9,南京,18,大型车,78.80-80.80,新能源,9
哈弗猛龙新能源,南京,18,SUV,16.58-19.28,新能源,9
极氪009,南京,18,MPV,43.90-89.90,新能源,1
QQ冰淇淋,忻州,27,微型车,2.99-5.69,燃油车,2
哈弗大狗,忻州,27,SUV,11.99-16.79,燃油车,2
哈弗H6,忻州,27,SUV,9.89-14.69,燃油车,2
奔腾小马,信阳,27,微型车,2.49-5.39,燃油车,2
逸动,新乡,27,紧凑型车,7.29-9.69,燃油车,3
雅阁,新乡,27,中型车,17.98-23.88,燃油车,4
奔驰GLC,邢台,27,SUV,42.78-53.13,燃油车,2
奥迪A3,邢台,27,紧凑型车,16.59-25.13,燃油车,3
捷途X70,孝感,27,SUV,10.69-14.99,燃油车,2
奔腾小马,咸阳,27,微型车,2.49-5.39,燃油车,2
岚图梦想家,兰州,18,MPV,32.99-63.99,新能源,1
理想L8,兰州,18,SUV,32.18-37.98,新能源,9
轩逸,咸阳,27,紧凑型车,10.86-17.49,燃油车,10
享界S9,昆明,18,中大型车,30.98-44.98,新能源,11
深蓝G318,昆明,18,SUV,17.59-31.80,新能源,9
锋兰达,襄阳,27,SUV,12.58-18.48,燃油车,2
奔驰GLC,襄阳,27,SUV,42.78-53.13,燃油车,2
宝马5系,襄阳,27,中大型车,43.99-52.59,燃油车,12
天籁,襄阳,27,中型车,17.98-23.98,燃油车,4
